# Karaoke Propio — hand-checked song categories.
#
# The primary source of truth for categorisation, consulted before
# MusicBrainz: every song here was categorised by a person looking at it,
# and an online lookup is only asked about songs this file does not name.
#
# Columns are tab-separated. Artist and title are written the way the
# library stores them; matching folds case, accents, punctuation and a
# leading or trailing article, so "The Beatles" and "Beatles, The" are the
# same song. Several genres are separated by "|". Empty means "not known",
# never "none".
#
# Regenerate with: node scripts/export-category-reference.mjs <database.sqlite3>
# Corrections are welcome as ordinary pull requests against this file.
artist	title	genre	decade	voice	language
Daniel Lazo	Si no es contigo	Pop	2010's	Male	Spanish
Daniela Romo	De mi enamorate	Ballad|Pop	80's	Female	Spanish
Daniela Romo	Quiero amanecer con alguien	Ballad|Pop	80's	Female	Spanish
Daniela Romo	Todo todo todo	Ballad|Pop	90's	Female	Spanish
Daniela Romo	Yo No Te Pido La Luna	Ballad|Disco|Pop	80's	Female	Spanish
Daniela Romo	Yo soy una mujer	Ballad|Pop	80's	Female	Spanish
Danny Daniel	Decirte quiero	Ballad	70's	Male	Spanish
Danny Daniel	Después de ti, ¿qué?	Ballad	70's	Male	Spanish
Danny Daniel	El Amor el Amor	Ballad	70's	Male	Spanish
Danny Daniel	Esa Eres tu	Ballad	70's	Male	Spanish
Danny Daniel	Niña, no te pintes tanto	Ballad	70's	Male	Spanish
Danny Daniel	Que Pena Me Da	Ballad	70's	Male	Spanish
Danny Daniel	Querida mía	Ballad	70's	Male	Spanish
Danny Daniel	Se que Me Engañaste un Día	Ballad	70's	Male	Spanish
Danny Daniel	Te quiero cada día más	Ballad	70's	Male	Spanish
Danny Daniel	Viento de Otoño	Ballad	70's	Male	Spanish
David Bisbal	Dos Hombres y un Destino	Pop	2000's	Male	Spanish
David Bowie	Ashes to ashes	Pop|Rock	80's	Male	English
David Bowie	Heroes	Pop|Rock	70's	Male	English
David Bowie	Let's dance	Pop|Rock	80's	Male	English
David Bowie	Life on Mars	Pop|Rock	70's	Male	English
David Bowie	Modern Love	Pop|Rock	80's	Male	English
David Bowie	Rebel Rebel	Pop|Rock	70's	Male	English
David Bowie	Space oddity	Pop|Rock	60's	Male	English
David Bowie	Starman	Pop|Rock	70's	Male	English
Debby Boone	You Light Up My Life	Ballad|Country|Pop	70's	Female	English
Deep Purple	Black Night	Metal|Rock	70's	Group	English
Deep Purple	Hush	Metal|Rock	60's	Group	English
Deep Purple	Smoke On The Water	Metal|Rock	70's	Group	English
Derek and the Dominos	Layla	Blues|Rock	70's	Group	English
Diego Verdaguer	La Ladrona	Ballad	80's	Male	Spanish
Diego Verdaguer	Pídeme	Ballad	80's	Male	Spanish
Diego Verdaguer	Volveré	Ballad	80's	Male	Spanish
Diego Verdaguer & Amanda Miguel	Volveré	Ballad|Pop	2000's|90's	Duet	Spanish
Dionne Warwick	That's What Friends Are For	Pop|Rock|Soul	80's	Female	English
Dionne Warwick	Walk On By	Pop|Rock|Soul	60's	Female	English
Don McLean	American Pie	Folk|Pop|Rock	70's	Male	English
Donald	Estoy hecho un demonio	Pop	70's	Male	Spanish
Donald	Siempre fuimos compañeros	Pop	2000's|70's	Male	Spanish
